ij:: 201,  row_id_ori: 3, col_id_ori: 9, row_id_new: 8, col_id_new: 70, permute_kk: 6, permute_index: 1094 

ij:: 202,  row_id_ori: 3, col_id_ori: 10, row_id_new: 10, col_id_new: 6, permute_kk: 6, permute_index: 1286 

ij:: 203,  row_id_ori: 3, col_id_ori: 11, row_id_new: 10, col_id_new: 70, permute_kk: 6, permute_index: 1350 

ij:: 204,  row_id_ori: 3, col_id_ori: 12, row_id_new: 12, col_id_new: 6, permute_kk: 6, permute_index: 1542 

ij:: 205,  row_id_ori: 3, col_id_ori: 13, row_id_new: 12, col_id_new: 70, permute_kk: 6, permute_index: 1606 

ij:: 206,  row_id_ori: 3, col_id_ori: 14, row_id_new: 14, col_id_new: 6, permute_kk: 6, permute_index: 1798 

ij:: 207,  row_id_ori: 3, col_id_ori: 15, row_id_new: 14, col_id_new: 70, permute_kk: 6, permute_index: 1862 

ij:: 208,  row_id_ori: 3, col_id_ori: 16, row_id_new: 16, col_id_new: 6, permute_kk: 6, permute_index: 2054 

ij:: 209,  row_id_ori: 3, col_id_ori: 17, row_id_new: 16, col_id_new: 70, permute_kk: 6, permute_index: 2118 

ij:: 210,  row_id_ori: 3, col_id_ori: 18, row_id_new: 18, col_id_new: 6, permute_kk: 6, permute_index: 2310 

ij:: 211,  row_id_ori: 3, col_id_ori: 19, row_id_new: 18, col_id_new: 70, permute_kk: 6, permute_index: 2374 

